,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
,,,,,,,,SCPMK802-05005,Mampu menerapkan prinsip penjaminan mutu (SQA) melalui pengujian perangkat lunak (Testing).,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, Diskusi studi kasus, Latihan analisis",Observasi (Praktik/ Tugas),"
Kelengkapan kolom status dan kejelasan deskripsi task pada Board.",Pengujian Perangkat Lunak,,,
,,,,,,,,SCPMK802-05006,Mampu mengelola siklus hidup pasca-rilis melalui pemeliharaan (Maintenance) dan evolusi sistem.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, Diskusi studi kasus, Latihan analisis",Partisipasi,Ketepatan jawaban teori dan analisis studi kasus tertulis.,Evolusi PL,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",,,,,,,,,,,,,,
,,,,BK10,Software Design,CPMK602,Mampu merancang arsitektur dan komponen perangkat lunak secara sistematis menggunakan pola desain yang sesuai dengan kebutuhan stakeholder,SCPMK602-05001,Mampu merancang arsitektur sistem dan memilih pola desain (Design Patterns) yang sistematis.,Guided Practice (Latihan Terbimbing),"Ceramah, Diskusi studi kasus, Latihan analisis",Observasi (Praktik/ Tugas),"Ketepatan pemilihan pola arsitektur (architectural patterns) dan pola desain (design patterns) yang relevan, serta ketepatan visualisasi komponen sistem menggunakan notasi standar (UML/C4 Model) untuk menjamin aspek maintainability",Arsitektur Perangkat Lunak,,,
,,,,BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,SCPMK607-05001,Mampu menganalisis kebutuhan organisasi dan melakukan elisitasi untuk menghasilkan spesifikasi kebutuhan.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah, Diskusi studi kasus, Latihan analisis",Observasi (Praktik/ Tugas),"Ketepatan transformasi desain menjadi kode program (implementasi), ketepatan prosedur pengujian (testing) untuk menjamin kualitas sistem, serta ketepatan fungsi aplikasi dalam menjawab kebutuhan organisasi yang kompleks",Metode Pengumpulan Kebutuhan PL,,,
"Candra Bella Vista, S.Kom., M.T.

Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.
 ",MK015,Basis Data,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK06,Data and Information Management,CPMK203,"Mampu merancang skema dan arsitektur manajemen data yang efektif dan terstruktur untuk mendukung solusi aplikasi multi-platform dengan mempertimbangkan integritas data, kebutuhan informasi stakeholder, serta efisiensi dalam operasi query dan skalabilitas sistem",SCPMK203-01501,"Mampu memahami konsep data, basis data, dan basis data relasional, serta merancang model dan skema basis data secara konseptual dan logikal dengan memperhatikan integritas data dan konsep normalisasi.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi studi kasus, Latihan analisis","Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok), Quiz, Unjuk Kerja (Presentasi), Tes Tulis (UTS)","Ketepatan dalam mencari contoh penerapan basis data; Ketepatan penjelasan terkait komponen basis data; Ketepatan analisis kebutuhan data, Ketepatan rancangan basis data menggunakan ERD; Ketepatan komponen ERD ke dalam model relasional; Ketepatan menjelaskan tahapan normalisasi, Ketepatan hasil normalisasi","1. Pengantar (Konsep Data, Informasi, dan Basis Data Relasional)","- Mahasiswa mampu menguasai konsep dan metode pengembangan basis data sebagai bagian dari pengembangan produk TIK

- Mahasiswa mampu merancang basis data relasional dengan benar

- Mahasiswa mampu menggunakan bahasa SQL untuk mengimplementasikan dan mengelola basis data","1. Pengantar (Konsep Data, Informasi)
2. Konsep Basis Data Relasional
3. ERD 1
4. ERD 2
5. Pemetaan ERD ke Model Relational
6. Pemetaan ERD ke Model Relational (2)
7. Normalisasi Basis Data
8. Pengantar MySQL dan DDL
9. DML MySQL
10. Query Select
11. Select Multi Table
12. Studi Kasus (Requirement identification, ERD)
13. Studi Kasus (Mapping to database, Implementasi database)
","Setelah mengikuti kuliah ini diharapkan mahasiswa menguasai pengetahuan tentang cara merancang dan membuat basis data relasional yang benar, serta menguasai bahasa basis data (bahasa SQL) untuk membangun dan mengelola basis data."
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1001,Mampu menganalisis permasalahan pengelolaan data dan informasi yang bersifat kompleks dengan wawasan multidisiplin untuk merancang serta mengimplementasikan solusi berbasis basis data yang sesuai dengan kebutuhan organisasi atau bisnis.,SCPMK1001-01501,"Mampu mengimplementasikan skema basis data dan menyusun query SQL untuk mendefinisikan, memanipulasi, dan menampilkan data sesuai dengan studi kasus ",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi studi kasus, Latihan analisis","Observasi (Praktik/ Tugas), Quiz, Unjuk Kerja (Presentasi), Tes Tulis (UAS)","Ketepatan perintah SQL-DDL untuk mengubah, menghapus basis data, tabel, dan relasi sesuai studi kasus yang diberikan; Ketepatan perintah SQL-DML untuk menambah, menghapus, dan mengubah data pada  basis data, sesuai studi kasus yang diberikan; Ketepatan perintah SQL-DQL untuk menampilkan kembali data yang tersimpan dalam basis data sesuai studi kasus yang diberikan; Ketepatan perintah SELECT untuk menampilkan data pada multi table pada basis data sesuai studi kasus yang diberikan","8. Pengantar MySQL dan DDL
9. DML MySQL
10. Query Select
11. Select Multi Table",,,
,,,,,,,,SCPMK1001-01502,"Mampu menganalisis kebutuhan data, merancang skema basis data, dan menyusun query SQL secara efisien untuk mengelola basis data sesuai dengan studi kasus",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi studi kasus, Latihan implementasi","Observasi (Praktik/ Tugas), Tes Lisan (Tugas Kelompok), Quiz, Unjuk Kerja (Presentasi)","Ketepatan identifikasi kebutuhan data; Ketepatan perancangan basis data; Ketepatan query DDL untuk implementasi hasil rancangan ke dalam DBMS MySQL; Ketepatan query DML untuk memanipulasi basis data yang telah dimplementasikan; Ketepatan query SELECT untuk menampilkan data yang tersimpan pada basis data; Ketepatan query SELECT untuk menampilkan data dari beberapa tabel

","12. Studi Kasus (Requirement identification, ERD)
13. Studi Kasus (Mapping to database, Implementasi database)",,,
"Candra Bella Vista, S.Kom., M.T.

Prof. Ir. Yan Watequlis Syaifudin, ST., M.MT., Ph.D.
 ",MK016,Praktikum Basis Data,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK06,Data and Information Management,CPMK203,"Mampu merancang skema dan arsitektur manajemen data yang efektif dan terstruktur untuk mendukung solusi aplikasi multi-platform dengan mempertimbangkan integritas data, kebutuhan informasi stakeholder, serta efisiensi dalam operasi query dan skalabilitas sistem",SCPMK203-01601,Mampu mengimplementasikan perancangan model dan skema basis data konseptual dan logikal melalui kegiatan praktikum dengan memperhatikan integritas data dan prinsip normalisasi.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UTS)","Ketepatan analisis kebutuhan data, Ketepatan rancangan basis data menggunakan ERD; Ketepatan komponen ERD ke dalam model relasional; Ketepatan menjelaskan tahapan normalisasi, Ketepatan hasil normalisasi","1. Pengantar (Konsep Data, Informasi)
2. Konsep Basis Data Relasional
3. ERD 1
4. ERD 2
5. Pemetaan ERD ke Model Relational
6. Pemetaan ERD ke Model Relational (2)
7. Normalisasi Basis Data","- Mampu merumuskan masalah, menganalisa kebutuhan sistem, merancang, dan membangun sistem berdasarkan hasil
perancangan, menguji coba, serta mengintegrasikan sistem sesuai dengan tahapan dalam membangun sistem dibidang
pengolahan data dan informasi, multimedia dan rekayasa perangkat lunak baik desktop, web, mobile, dan jaringan komputer
dengan memperhatikan aspek kinerja dan kehandalan, keamanan, kemudahan penerapan dan keberlanjutan
- Mampu menggunakan teknologi informasi modern dalam melaksanakan pekerjaan
- Mampu membuat program dengan menggunakan prinsip-prinsip OOP menggunakan bahasa pemrograman Java

","1. Pengantar (Konsep Data, Informasi)
2. Konsep Basis Data Relasional
3. ERD 1
4. ERD 2
5. Pemetaan ERD ke Model Relational
6. Pemetaan ERD ke Model Relational (2)
7. Normalisasi Basis Data
8. Pengantar MySQL dan DDL
9. DML MySQL
10. Query Select
11. Select Multi Table
12. Studi Kasus (Requirement identification, ERD)
13. Studi Kasus (Mapping to database, Implementasi database)
","Setelah mengikuti kuliah ini diharapkan mahasiswa menguasai pengetahuan tentang cara merancang dan membuat basis data relasional yang benar, serta  menguasai bahasa basis data (bahasa SQL) untuk membangun dan mengelola basis data. membuat basis data relasional yang benar, serta  menguasai bahasa basis data (bahasa SQL) untuk membangun dan mengelola basis data. "
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",,,CPMK701,"Mampu merancang, mengimplementasikan, dan mengevaluasi sistem manajemen data yang handal untuk mendukung kebutuhan penyimpanan dan pengelolaan informasi",SCPMK701-01601,Mampu mengimplementasikan skema basis data dan mengeksekusi query SQL untuk mengelola data sesuai studi kasus melalui kegiatan praktikum.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UTS)","Ketepatan Penulisan dan Eksekusi Query DDL, Ketepatan Penulisan dan Eksekusi Query DML, Kesesuaian Hasil Query dengan Kebutuhan Data","8. Pengantar MySQL dan DDL
9. DML MySQL
10. Query Select
11. Select Multi Table
",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1001,Mampu menganalisis permasalahan pengelolaan data dan informasi yang bersifat kompleks dengan wawasan multidisiplin untuk merancang serta mengimplementasikan solusi berbasis basis data yang sesuai dengan kebutuhan organisasi atau bisnis.,SCPMK1001-01601,Mampu mengimplementasikan perancangan skema basis data dan implementasi melalui query SQL sesuai dengan studi kasus.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Observasi (Praktik/ Tugas), Quiz, Tes Tulis (UAS), Tes Lisan (Tugas Kelompok)","Ketepatan identifikasi kebutuhan data; Ketepatan perancangan basis data; Ketepatan query DDL untuk implementasi hasil rancangan ke dalam DBMS MySQL; Ketepatan query DML untuk memanipulasi basis data yang telah dimplementasikan; Ketepatan query SELECT untuk menampilkan data yang tersimpan pada basis data; Ketepatan query SELECT untuk menampilkan data dari beberapa tabel

","12. Studi Kasus (Requirement identification, ERD)
13. Studi Kasus (Mapping to database, Implementasi database)",,,
"Mamluatul Hani'ah, S.Kom., M.Kom.
Vit Zuraida, S.Kom., M.Kom.",MK017,Algoritma Dan Struktur Data,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK12,"Data Structures, Algorithms and Complexity",CPMK207,Mampu menganalisis kompleksitas permasalahan komputasi kemudian memilih dan merancang struktur data serta algoritma yang optimal ,SCPMK207-01701,Mahasiswa mampu menjelaskan karakteristik berbagai struktur data serta alur pengelolaan data dalam mendukung penyelesaian permasalahan komputasi.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi studi kasus, Latihan analisis","Tes Tulis (UAS), Observasi (Praktik/ Tugas)","Ketepatan menjelaskan karakteristik struktur data, menjelaskan urutan pengelolaan data secara logis, Ketepatan struktur data dengan permasalahan","Stack
Queue
Single Linked List
Double Linked List
Tree dan BST
Best Practice Collections",,"1.        Searching
2.        Sorting
3.        Queue
4.        Stack 
5.        Linked List
6.        Tree
7.        Graf
8.        Bruteforce
9.        Divide-Conquer
10.        Depth First Search
11.        Breadth First Search

","Matakuliah Algoritma dan Struktur Data adalah sebuah mata kuliah yang diharapkan dapat memberikan pengetahuan dan keterampilan pembuatan Algoritma dan Struktur Data yang meliputi Bruteforce, Divide-Conquer, Stack, Queue, Linked List, Tree dan Graph serta proses-proses Sorting, dan Searching"
,,,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK12
BK13
BK14","Data Structures, Algorithms and Complexity
Programming Languages
Programming Fundamentals",CPMK903,Mahasiswa mampu menjelaskan prinsip logika komputasi serta menerapkan teknik dasar pemrograman dan algoritma untuk menganalisis dan menyelesaikan permasalahan.,SCPMK903-01701,"Mahasiswa mampu menganalisis permasalahan komputasi pada struktur data berbasis array of object, serta menjelaskan dan membandingkan pendekatan algoritmik yang digunakan untuk pengolahan dan pencarian data",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi studi kasus, Latihan analisis","Tes Tulis (UTS), Quiz, Observasi (Praktik/ Tugas)","Ketepatan menjelaskan permasalahan komputasi berbasis array of object, Mampu membandingkan pendekatan algoritmik untuk pengolahan dan pencarian data","Dasar Pemrograman
Object
Array of Object
Brute Force dan Divide Conquer
Bubble, Selection, dan Insertion Sort
Sequential dan Binary Search
",,,
,,,,,,,,,,,,,,,,,
"Mamluatul Hani'ah, S.Kom., M.Kom.
Vit Zuraida, S.Kom., M.Kom.",MK018,Praktikum Algoritma Dan Struktur Data,,,,,,,,,,,,,,,
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK12,"Data Structures, Algorithms and Complexity",CPMK703,Mampu memilih dan mengimplementasikan struktur data serta algoritma yang efisien untuk mendukung pengolahan data dan pengembangan sistem,SCPMK703-01801,Mahasiswa mampu memilih dan mengimplementasikan struktur data non-linear serta koleksi data untuk membangun solusi pengolahan data yang efisien.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Quiz, Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)","Kesesuaian struktur data sesuai dengan kasus, keberhasilan Implementasi struktur data, serta penjelasan logika program","Tree
Binary Search Tree (BST)
Best Practice Collections",,,
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK21,Discrete Structures,CPMK708,Mampu menerapkan konsep struktur data dalam perancangan dan implementasi algoritma untuk menghasilkan solusi komputasi yang efisien,SCPMK708-01801,Mahasiswa mampu mengimplementasikan struktur data linear dan mengintegrasikannya ke dalam algoritma untuk menyelesaikan permasalahan komputasi.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Quiz, Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)","Kesesuaian struktur data sesuai dengan kasus, keberhasilan Implementasi struktur data, serta penjelasan logika program","Stack
Queue
Single Linked List
Double Linked List",,,
,,,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK12
BK13
BK14","Data Structures, Algorithms and Complexity
Programming Languages
Programming Fundamentals",CPMK903,Mahasiswa mampu menjelaskan prinsip logika komputasi serta menerapkan teknik dasar pemrograman dan algoritma untuk menganalisis dan menyelesaikan permasalahan.,SCPMK903-01801,Mahasiswa mampu menerapkan teknik dasar pemrograman dan algoritma untuk menyelesaikan permasalahan komputasi menggunakan array of object.,Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Praktikum berbasis kasus, Latihan implementasi mandiri, diskusi, Case Method","Quiz, Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)","Kebenaran implementasi program (berjalan sesuai spesifikasi), penggunaan algoritma sesuai dengan kasus","Dasar Pemrograman
Object
Array of Object
Brute Force dan Divide Conquer
Bubble, Selection, dan Insertion Sort
Sequential dan Binary Search",,,
"Pramana Yoga Saputra, S.Kom., MMT.
",MK019,Manajemen Proyek,"(CPL03)
Memiliki kemampuan (pengelolaan) manajerial tim dan kerja sama (team work), manajemen diri, mampu berkomunikasi baik lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",BK03,Project Management,,,,,,,,,,"9.1.2.1 SUPCPMK 1
Mampu memahami fase pelaksanaan proyek dan penerapan knowledge area dalam pengembangan perangkat lunak sesuai dengan PMBOK (Project Management Body of Knowledge)

9.1.2.2 SUPCPMK 2
Mampu menerapkan kaidah rekayasa perangkat lunak dan manajemen proyek perangkat lunak sesuai best practice melalui proyek sepanjang satu semester, yang mencakup pembuatan proposal, perencanaan proyek, desain dan implementasi perangkat lunak, quality control, dan user delivery

","1. Konsep proyek dan manajemen proyek 
2. Fase dalam manajemen proyek
3. 10 Knowledge Area dalam manajemen proyek
4. Manajemen integrasi proyek
5. Manajemen ruang lingkup proyek
6. Manajemen waktu proyek
7. Manajemen biaya proyek 
8. Manajemen kualitas proyek
9. Manajemen SDM proyek 
10. Manajemen komunikasi proyek 
11. Manajemen risiko proyek 
12. Manajemen pengadaan proyek 
13. Manajemen pemangku kepentingan proyek
","Mata Kuliah Manajemen Proyek Sistem Informasi adalah sebuah mata kuliah yang diharapkan dapat memberikan pengetahuan dan keterampilan Manajemen Proyek, Siklus Managemen Proyek, Mengelola Ruang Lingkup Proyek, Mengelola Jadwal Waktu, Mengelola Biaya, Mengelola Kualitas Proyek (QMS), Mengelola SDM, Mengelola Risiko, Mengelola Komunikasi, Mengelolal Pengadaan Proyek, Mengelola Pemangku Kepentingan Proyek."
,,,,,,CPMK302,"Mampu mengelola tim dan proyek secara efektif melalui perencanaan, koordinasi, komunikasi, dan presentasi hasil proyek dengan menerapkan prinsip-prinsip manajemen proyek untuk menyelesaikan permasalahan nyata.",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,"(CPL04)
Menyusun deskripsi saintifik hasil kajian implikasi pengembangan atau implementasi ilmu pengetahuan teknologi dalam bentuk skripsi atau laporan tugas akhir atau artikel ilmiah.",,,CPMK402,Mampu merencanakan dan mengorganisasi dokumentasi proyek teknologi informasi secara sistematis dalam bentuk laporan teknis yang memenuhi kaidah ilmiah.,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


",,,CPMK801,"Mampu menyusun dan mempresentasikan rencana proyek teknologi informasi yang komprehensif, mencakup estimasi, penjadwalan, alokasi sumber daya, dan manajemen risiko untuk diimplementasikan dalam sebuah proyek.",,,,,,,,,,
,,,,,,CPMK803,"Mampu melaksanakan, memonitor, dan mengendalikan jalannya proyek menggunakan alat bantu (tools) manajemen, serta mengelola dinamika tim untuk mencapai tujuan proyek secara efisien.",,,,,,,,,,
,MK020,Sistem Informasi Manajemen,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",BK06,Data and Information Management,CPMK203,"Merancang skema dan arsitektur manajemen data yang efektif dan terstruktur untuk mendukung solusi aplikasi multi-platform dengan mempertimbangkan integritas data, kebutuhan informasi stakeholder, serta efisiensi dalam operasi query dan skalabilitas sistem",,,,,,,,"9.1.1.1 SUPCPMK 1 Mampu mengidentifikasi dan menganalisis kebutuhan, serta menerapkan konsep perancangan perangkat lunak menggunakan UML secara tepat berdasarkan prosedur baku, dan spesifikasi desain
9.1.1.2 SUPCPMK 2 Mampu menerapkan konsep implementasi perangkat lunak dengan memperhatikan pengelolaan sumber daya berupa waktu, SDM, dan biaya
9.1.1.3 SUPCPMK 3 Mampu menerapkan konsep pengujian perangkat lunak sebagai bentuk penjaminan kualitas produk TIK, dan melakukan dokumentasi pada setiap proses pengembangan","- Konsep Dasar Sistem
- Konsep Dasar Teknologi Informasi
- Konsep Fakta, Data, dan Informasi
- Konsep Sistem Informasi Manajemen
- Konsep Dasar Manajemen dan Organisasi dalam Sistem Informasi Manajemen
- Konsep Pengambilan Keputusan Berbasis Sistem Informasi
- Konsep Teknologi dalam Sistem Informasi untuk Sistem Informasi Manajemen
- Aplikasi Sistem Informasi pada Fungsi dan Level Organisasi
- Sistem Informasi Strategis dan Sistem Antar-Organisasi
- Aplikasi Sistem Informasi Pendukung dalam Sistem Informasi Manajemen
- Database dan Sistem Manajemen Basis Data
- Teknologi Informasi dan Komunikasi untuk Sistem Informasi Manajemen
- Pengembangan Sistem Informasi Manajemen","Mata kuliah Sistem Informasi Manajemen adalah mata kuliah yang mengajarkan kepada mahasiswa tentang konsep – konsep teoritis tentang sistem informasi manajemen, kebutuhan informasi pada setiap tingkatan dalam organisasi, aspek sistem informasi dalam organisasi."
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1001,Mampu menganalisis permasalahan pengelolaan data dan informasi yang bersifat kompleks dengan wawasan multidisiplin untuk merancang serta mengimplementasikan solusi berbasis basis data yang sesuai dengan kebutuhan organisasi atau bisnis.,,,,,,,,,,
"Dr. Widaningsih Condrowardhani, SH, MH.
",MK021,Kewarganegaraan,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",,,,,,,,,"1. Identitas Nasional
2. Negara Dan Konstitusi
3. Hubungan Negara Dan Warga Negara
4. Negara Hukum
5. Demokrasi
6. Hak Asasi Manusia
7. Wawasan Nusantara
8. Ketahanan Nasional
9. Integrasi Nasional 
METODE PEMBELAJARAN:
1. Ceramah/Kuliah Pakar,
2. Problem Based Learning/FGD
3. Project Based Learning
4. Self-Learning (V-Class)
5. Diskusi Kelompok
6. Metode Case
","Mampu memahami dan memiliki kesadaran tentang rasa kebangsaan dan cinta tanah air, demokratis berkeadaban, serta mempunyai kepribadian yang memiliki daya saing, berdisiplin dan berpartisipasi aktif dalam membangun kehidupan yang damai berdasarkan sistem nilai Pancasila"
"Dimas Wahyu Wibowo, ST., MT.
",MK022,Desain & Pemrograman Web,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK19,Platform-based Development,CPMK603,"Mampu mengimplementasikan dan melakukan deployment aplikasi perangkat lunak pada platform web, mobile, atau framework secara fungsional.",,Mahasiswa mampu menganalisis kebutuhan stakeholder untuk merancang arsitektur web yang mengintegrasikan fitur .Mahasiswa mampu mengimplementasikan desain antarmuka web yang responsif dan interaktif untuk menyajikan visualisasi hasil analisis data secara informatif kepada pengguna.Mahasiswa mampu melakukan deployment aplikasi web cerdas ke layanan cloud hosting serta melakukan pemeliharaan rutin untuk menjaga performa sistem.,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),Mahasiswa diberikan proyek kecil yang berkelanjutan. Mereka harus merancang ERD (Entity Relationship Diagram) berdasarkan kasus tersebut dan diimplementasi dalam bentuk web,"Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)",Ketepatan Rancangan: Sejauh mana desain arsitektur web dan skema basis data mampu mengintegrasikan fitur cerdas secara logis dan skalabel sesuai kebutuhan stakeholder.Responsivitas & Interaktivitas: Kualitas antarmuka yang adaptif di berbagai perangkat dan kejelasan visualisasi data hasil analisis yang mudah dipahami pengguna.Konektivitas Sistem: Keberhasilan menghubungkan logika bisnis backend sehingga aplikasi berjalan secara fungsional. Keberhasilan proses deployment ke layanan Hosting,,,"1. Pengantar Internet dan Desain Web
2. HTML
3. Dasar-Dasar Programing PHP
4. Form Processing dan Form Upload
5. Cookies, Session dan Mysql
6. Pemograman Database di PHP
7. Hosting","Dalam mata kuliah Desain dan Pemrograman Web ini, akan dibahas  tentang HTML, perbedaan web statis dan web dinamis, Web dinamis di sisi client dan di sisi server, Pengenalan  Web Server, Bahasa pemrograman web (PHP), Database yang berhubungan dengan pemrograman Web (MySQL), Koneksi  Middleware ke Database"
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK13,"Programming Language
",CPMK704,Mampu menganalisis kebutuhan pemecahan masalah dan mengembangkan program menggunakan berbagai bahasa dan paradigma pemrograman secara tepat guna,,,,,,,,,,
